case_id,source_experiment,source_artifact_path,dataset,model_family,explainer,instance_id,prediction,prediction_confidence,true_label,normalized_explanation,explanation_length_tokens,quadrant,random_seed,sample_size,technical_metrics
exp4_3d27b1d2bd43df77,exp2_scaled,experiments\exp2_scaled\results\mlp_anchors\seed_999\n_50\results.json,adult,mlp,anchors,8558,1,,0,ANCHORS top local factors: age: 1.0000; hours-per-week: 1.0000; workclass_Private: 1.0000; occupation_Exec-managerial: 1.0000; relationship_Husband: 1.0000; fnlwgt: 0.0000; education-num: 0.0000; capital-gain: 0.0000; capital-loss: 0.0000; workclass_Federal-gov: 0.0000,78,FP,999,50,"{""cost"": 2576.1193750076927, ""faithfulness_gap"": 0.7281153936499434, ""fidelity"": 0.6058616491280011, ""runtime_ms"": 2576.1193750076927, ""sparsity"": 0.046296296296296294, ""stability"": 0.0}"
exp4_3debbe632feba167,exp2_scaled,experiments\exp2_scaled\results\mlp_dice\seed_999\n_200\results.json,adult,mlp,dice,9478,0,,0,DICE top local factors: native-country_Ireland: 0.6000; age: 0.0000; fnlwgt: 0.0000; education-num: 0.0000; capital-gain: 0.0000; capital-loss: 0.0000; hours-per-week: 0.0000; workclass_Federal-gov: 0.0000; workclass_Local-gov: 0.0000; workclass_Never-worked: 0.0000,82,TN,999,200,"{""cost"": 514.5335419947514, ""faithfulness_gap"": 0.10285288205557866, ""fidelity"": -0.04288729324356674, ""runtime_ms"": 514.5335419947514, ""sparsity"": 0.009259259259259259, ""stability"": 0.060128957548914716}"
exp4_3e006f8c0e7512b1,exp2_scaled,experiments\exp2_scaled\results\mlp_shap\seed_999\n_50\results.json,adult,mlp,shap,9623,0,,1,SHAP top local factors: education_Some-college: -0.1436; marital-status_Married-civ-spouse: 0.1359; occupation_Prof-specialty: -0.1053; relationship_Husband: 0.0437; marital-status_Never-married: 0.0428; education_HS-grad: 0.0262; education-num: -0.0258; relationship_Own-child: -0.0252; sex_Male: -0.0178; capital-gain: -0.0167,92,FN,999,50,"{""cost"": 536.3557430100627, ""faithfulness_gap"": 0.12897550452454426, ""fidelity"": 0.6510454285259274, ""runtime_ms"": 536.3557430100627, ""sparsity"": 0.09259259259259259, ""stability"": 0.04182736435436813}"
exp4_4204b78d9c679eb0,exp2_scaled,experiments\exp2_scaled\results\logreg_anchors\seed_123\n_100\results.json,adult,logreg,anchors,1570,1,,0,ANCHORS top local factors: age: 1.0000; fnlwgt: 1.0000; education-num: 1.0000; hours-per-week: 1.0000; workclass_Self-emp-not-inc: 1.0000; marital-status_Married-civ-spouse: 1.0000; occupation_Machine-op-inspct: 1.0000; occupation_Other-service: 1.0000; occupation_Transport-moving: 1.0000; occupation_nan: 1.0000,90,FP,123,100,"{""cost"": 4002.4903319999794, ""faithfulness_gap"": 0.1366176719829068, ""fidelity"": 0.4282997029000475, ""runtime_ms"": 4002.4903319999794, ""sparsity"": 0.09259259259259259, ""stability"": 0.15827655298611112}"
exp4_443fa95e6bb9a53a,exp2_scaled,experiments\exp2_scaled\results\logreg_anchors\seed_456\n_50\results.json,adult,logreg,anchors,2605,1,,1,ANCHORS top local factors: age: 1.0000; fnlwgt: 1.0000; capital-gain: 1.0000; education_10th: 1.0000; education_11th: 1.0000; education_Some-college: 1.0000; marital-status_Divorced: 1.0000; marital-status_Married-civ-spouse: 1.0000; occupation_Adm-clerical: 1.0000; occupation_Craft-repair: 1.0000,80,TP,456,50,"{""cost"": 4470.604167000033, ""faithfulness_gap"": 0.05039863289176816, ""fidelity"": 0.2806213214576506, ""runtime_ms"": 4470.604167000033, ""sparsity"": 0.19444444444444445, ""stability"": 0.0}"
exp4_4440b587017f192b,exp3_cross_dataset,experiments\exp3_cross_dataset\results\german_credit\xgb_shap\seed_42\n_100\results.json,german_credit,xgb,shap,181,1,,0,SHAP top local factors: residence_since: 0.1655; credit_amount: 0.1204; duration: -0.1114; checking_status_no checking: -0.1077; savings_status_<100: -0.0374; age: 0.0334; credit_history_no credits/all paid: -0.0305; purpose_radio/tv: 0.0274; credit_history_critical/other existing credit: -0.0232; personal_status_male single: -0.0207,84,FP,42,100,"{""cost"": 1002.2821859993201, ""faithfulness_gap"": 0.06829756498336792, ""fidelity"": 0.8026067714640195, ""runtime_ms"": 1002.2821859993201, ""sparsity"": 0.8032786885245902, ""stability"": 0.8653406800523221}"
exp4_445412523328930a,exp3_cross_dataset,experiments\exp3_cross_dataset\results\german_credit\rf_anchors\seed_42\n_100\results.json,german_credit,rf,anchors,1,0,,1,ANCHORS top local factors: duration: 1.0000; installment_commitment: 1.0000; residence_since: 1.0000; checking_status_0<=X<200: 1.0000; checking_status_<0: 1.0000; checking_status_>=200: 1.0000; checking_status_no checking: 1.0000; credit_history_all paid: 1.0000; credit_history_critical/other existing credit: 1.0000; credit_history_existing paid: 1.0000,81,FN,42,100,"{""cost"": 13023.547217000669, ""faithfulness_gap"": 0.019999999999999962, ""fidelity"": 0.25854292807369206, ""runtime_ms"": 13023.547217000669, ""sparsity"": 0.47540983606557374, ""stability"": 0.6046876290802969}"
exp4_445567f442799a48,exp3_cross_dataset,experiments\exp3_cross_dataset\results\german_credit\xgb_shap\seed_42\n_100\results.json,german_credit,xgb,shap,68,0,,0,SHAP top local factors: checking_status_no checking: -0.0740; other_payment_plans_none: -0.0722; credit_history_all paid: -0.0694; checking_status_<0: -0.0436; savings_status_<100: -0.0417; residence_since: -0.0358; credit_history_critical/other existing credit: -0.0328; age: 0.0279; employment_4<=X<7: -0.0244; credit_amount: 0.0206,87,TN,42,100,"{""cost"": 1005.4333190000762, ""faithfulness_gap"": 0.32512566447257996, ""fidelity"": 0.4924266463347238, ""runtime_ms"": 1005.4333190000762, ""sparsity"": 0.8360655737704918, ""stability"": 0.6869730435231383}"
exp4_44c1e011120b2dd5,exp3_cross_dataset,experiments\exp3_cross_dataset\results\breast_cancer\rf_shap\seed_456\n_100\results.json,breast_cancer,rf,shap,51,0,,1,SHAP top local factors: worst radius: -0.1517; worst perimeter: -0.1132; worst area: -0.0702; worst concavity: 0.0454; mean area: -0.0364; mean radius: -0.0330; mean perimeter: -0.0229; mean concavity: 0.0225; worst concave points: 0.0156; area error: -0.0115,82,FN,456,100,"{""cost"": 1001.0026999516413, ""faithfulness_gap"": 0.36000000000000004, ""fidelity"": 0.9247354291814025, ""runtime_ms"": 1001.0026999516413, ""sparsity"": 1.0, ""stability"": 0.9318215630913591}"
exp4_45af74f0fdcedd43,exp3_cross_dataset,experiments\exp3_cross_dataset\results\german_credit\rf_shap\seed_123\n_100\results.json,german_credit,rf,shap,59,1,,0,SHAP top local factors: checking_status_no checking: 0.1215; duration: -0.0853; checking_status_<0: 0.0472; purpose_education: -0.0304; property_magnitude_no known property: -0.0271; credit_history_critical/other existing credit: -0.0207; age: 0.0189; other_payment_plans_none: -0.0176; credit_amount: 0.0171; housing_for free: -0.0146,80,FP,123,100,"{""cost"": 1000.761569000133, ""faithfulness_gap"": 0.12, ""fidelity"": 0.9026654816306049, ""runtime_ms"": 1000.761569000133, ""sparsity"": 0.9016393442622951, ""stability"": 0.9979745364764304}"
exp4_4838b07b3f340d51,exp3_cross_dataset,experiments\exp3_cross_dataset\results\german_credit\xgb_anchors\seed_123\n_100\results.json,german_credit,xgb,anchors,152,1,,0,ANCHORS top local factors: checking_status_no checking: 1.0000; housing_own: 1.0000; duration: 0.0000; credit_amount: 0.0000; installment_commitment: 0.0000; residence_since: 0.0000; age: 0.0000; existing_credits: 0.0000; num_dependents: 0.0000; checking_status_0<=X<200: 0.0000,70,FP,123,100,"{""cost"": 1001.5052359958645, ""faithfulness_gap"": 0.37956002354621887, ""fidelity"": 0.5445814245526188, ""runtime_ms"": 1001.5052359958645, ""sparsity"": 0.03278688524590164, ""stability"": 0.8759613874877267}"
exp4_4919484756fd435e,exp2_scaled,experiments\exp2_scaled\results\logreg_dice\seed_456\n_200\results.json,adult,logreg,dice,5251,0,,0,DICE top local factors: education-num: 3.7540; age: 0.0000; fnlwgt: 0.0000; capital-gain: 0.0000; capital-loss: 0.0000; hours-per-week: 0.0000; workclass_Federal-gov: 0.0000; workclass_Local-gov: 0.0000; workclass_Never-worked: 0.0000; workclass_Private: 0.0000,80,TN,456,200,"{""cost"": 531.9059999892488, ""faithfulness_gap"": 0.17006140526503852, ""fidelity"": 0.8592089004201782, ""runtime_ms"": 531.9059999892488, ""sparsity"": 0.009259259259259259, ""stability"": 0.4462937536440591}"
exp4_49b4fcf4bf2d7761,exp3_cross_dataset,experiments\exp3_cross_dataset\results\german_credit\rf_anchors\seed_123\n_100\results.json,german_credit,rf,anchors,191,1,,0,ANCHORS top local factors: age: 1.0000; checking_status_<0: 1.0000; credit_history_critical/other existing credit: 1.0000; duration: 0.0000; credit_amount: 0.0000; installment_commitment: 0.0000; residence_since: 0.0000; existing_credits: 0.0000; num_dependents: 0.0000; checking_status_0<=X<200: 0.0000,75,FP,123,100,"{""cost"": 2001.121373999922, ""faithfulness_gap"": 0.06000000000000005, ""fidelity"": 0.048279989916266405, ""runtime_ms"": 2001.121373999922, ""sparsity"": 0.04918032786885246, ""stability"": 0.7702848490709265}"
exp4_4c3d79ea2f396cd5,exp2_scaled,experiments\exp2_scaled\results\logreg_lime\seed_789\n_100\results.json,adult,logreg,lime,1371,1,,0,LIME top local factors: native-country_Haiti: 0.0000; education_Masters: 0.0000; race_Black: 0.0000; native-country_United-States: -0.0000; race_White: -0.0000; occupation_Adm-clerical: 0.0000; education-num: 0.0000; marital-status_Married-civ-spouse: 0.0000; relationship_Husband: 0.0000; marital-status_Never-married: -0.0000,87,FP,789,100,"{""cost"": 2.932709001470357, ""faithfulness_gap"": 0.036634252446076654, ""fidelity"": 0.0, ""runtime_ms"": 2.932709001470357, ""sparsity"": 0.0, ""stability"": 2.5456349921115695e-42}"
exp4_4deccedcca9c7800,exp2_scaled,experiments\exp2_scaled\results\mlp_lime\seed_456\n_200\results.json,adult,mlp,lime,8684,0,,0,LIME top local factors: education_12th: -0.0110; occupation_Machine-op-inspct: -0.0054; race_Black: -0.0041; sex_Female: -0.0020; marital-status_Never-married: -0.0020; relationship_Not-in-family: -0.0020; fnlwgt: -0.0017; marital-status_Married-civ-spouse: 0.0016; hours-per-week: -0.0006; education_HS-grad: 0.0005,96,TN,456,200,"{""cost"": 3.1779580167494714, ""faithfulness_gap"": 0.5570371632197803, ""fidelity"": 0.3579868734728017, ""runtime_ms"": 3.1779580167494714, ""sparsity"": 0.09259259259259259, ""stability"": 0.03429468825720831}"
exp4_4e230a6771152fb2,exp2_scaled,experiments\exp2_scaled\results\logreg_lime\seed_789\n_100\results.json,adult,logreg,lime,2627,0,,0,LIME top local factors: occupation_Protective-serv: -0.0158; capital-gain: 0.0110; race_Black: -0.0080; marital-status_Divorced: -0.0069; race_White: 0.0063; marital-status_Married-civ-spouse: 0.0063; education-num: 0.0051; marital-status_Never-married: -0.0015; relationship_Husband: 0.0006; sex_Female: 0.0005,86,TN,789,100,"{""cost"": 2.9700419981963933, ""faithfulness_gap"": 0.052488423132932976, ""fidelity"": 0.7118438840497955, ""runtime_ms"": 2.9700419981963933, ""sparsity"": 0.09259259259259259, ""stability"": 0.11021331519406845}"
exp4_4e9045d4d8fa6e21,exp2_scaled,experiments\exp2_scaled\results\logreg_dice\seed_42\n_200\results.json,adult,logreg,dice,4203,1,,0,DICE top local factors: marital-status_Married-civ-spouse: 0.6000; age: 0.0000; fnlwgt: 0.0000; education-num: 0.0000; capital-gain: 0.0000; capital-loss: 0.0000; hours-per-week: 0.0000; workclass_Federal-gov: 0.0000; workclass_Local-gov: 0.0000; workclass_Never-worked: 0.0000,86,FP,42,200,"{""cost"": 458.6256670008879, ""faithfulness_gap"": 0.21130916234328645, ""fidelity"": 0.6141351705493326, ""runtime_ms"": 458.6256670008879, ""sparsity"": 0.009259259259259259, ""stability"": 0.029855764628661557}"
exp4_4f96f4d65555df8d,exp3_cross_dataset,experiments\exp3_cross_dataset\results\german_credit\xgb_anchors\seed_42\n_100\results.json,german_credit,xgb,anchors,15,0,,1,ANCHORS top local factors: duration: 1.0000; credit_amount: 1.0000; age: 1.0000; checking_status_no checking: 1.0000; purpose_radio/tv: 1.0000; savings_status_<100: 1.0000; property_magnitude_real estate: 1.0000; installment_commitment: 0.0000; residence_since: 0.0000; existing_credits: 0.0000,70,FN,42,100,"{""cost"": 2002.9564229989774, ""faithfulness_gap"": 0.3911033570766449, ""fidelity"": 0.722585859843957, ""runtime_ms"": 2002.9564229989774, ""sparsity"": 0.11475409836065574, ""stability"": 0.4383619496068345}"
exp4_50e3b33d6c3d012f,exp3_cross_dataset,experiments\exp3_cross_dataset\results\breast_cancer\xgb_shap\seed_42\n_100\results.json,breast_cancer,xgb,shap,90,1,,1,SHAP top local factors: area error: 0.0969; worst perimeter: 0.0922; worst concave points: 0.0544; worst texture: 0.0527; worst smoothness: 0.0425; worst area: 0.0336; worst radius: 0.0312; mean area: 0.0210; mean texture: 0.0114; mean concavity: 0.0102,75,TP,42,100,"{""cost"": 1006.5703999716789, ""faithfulness_gap"": 0.7570732831954956, ""fidelity"": 0.8133310637988899, ""runtime_ms"": 1006.5703999716789, ""sparsity"": 0.3333333333333333, ""stability"": 0.5320312699299119}"
exp4_5169d5420efbc3da,exp2_scaled,experiments\exp2_scaled\results\logreg_anchors\seed_42\n_100\results.json,adult,logreg,anchors,1328,0,,1,ANCHORS top local factors: education-num: 1.0000; occupation_Farming-fishing: 1.0000; age: 0.0000; fnlwgt: 0.0000; capital-gain: 0.0000; capital-loss: 0.0000; hours-per-week: 0.0000; workclass_Federal-gov: 0.0000; workclass_Local-gov: 0.0000; workclass_Never-worked: 0.0000,82,FN,42,100,"{""cost"": 193.75466600467917, ""faithfulness_gap"": 0.36426030360164613, ""fidelity"": 0.85184671339055, ""runtime_ms"": 193.75466600467917, ""sparsity"": 0.018518518518518517, ""stability"": 0.0}"
exp4_52ed2fe68041b4f8,exp2_scaled,experiments\exp2_scaled\results\logreg_anchors\seed_123\n_100\results.json,adult,logreg,anchors,583,0,,0,ANCHORS top local factors: education-num: 1.0000; occupation_Other-service: 1.0000; age: 0.0000; fnlwgt: 0.0000; capital-gain: 0.0000; capital-loss: 0.0000; hours-per-week: 0.0000; workclass_Federal-gov: 0.0000; workclass_Local-gov: 0.0000; workclass_Never-worked: 0.0000,82,TN,123,100,"{""cost"": 4150.427905027755, ""faithfulness_gap"": 0.19055080507622155, ""fidelity"": 0.6497735692570776, ""runtime_ms"": 4150.427905027755, ""sparsity"": 0.018518518518518517, ""stability"": 0.30231086368685023}"
exp4_56b2fc0abd88017e,exp3_cross_dataset,experiments\exp3_cross_dataset\results\german_credit\xgb_shap\seed_123\n_100\results.json,german_credit,xgb,shap,197,1,,1,SHAP top local factors: checking_status_no checking: -0.0725; purpose_new car: -0.0581; savings_status_<100: 0.0577; credit_amount: 0.0535; checking_status_<0: 0.0313; own_telephone_none: -0.0311; age: 0.0288; credit_history_critical/other existing credit: -0.0270; duration: -0.0237; installment_commitment: -0.0216,80,TP,123,100,"{""cost"": 1002.2213820002435, ""faithfulness_gap"": 0.0959320068359375, ""fidelity"": 0.3569172865665091, ""runtime_ms"": 1002.2213820002435, ""sparsity"": 0.7704918032786885, ""stability"": 0.838596057569238}"
exp4_56bce20eb20c4e00,exp3_cross_dataset,experiments\exp3_cross_dataset\results\breast_cancer\rf_anchors\seed_123\n_100\results.json,breast_cancer,rf,anchors,0,1,,0,ANCHORS top local factors: mean concave points: 1.0000; concave points error: 1.0000; mean radius: 0.0000; mean texture: 0.0000; mean perimeter: 0.0000; mean area: 0.0000; mean smoothness: 0.0000; mean compactness: 0.0000; mean concavity: 0.0000; mean symmetry: 0.0000,76,FP,123,100,"{""cost"": 3001.854700036347, ""faithfulness_gap"": 0.09000000000000002, ""fidelity"": 0.27749892091990985, ""runtime_ms"": 3001.854700036347, ""sparsity"": 0.06666666666666667, ""stability"": 0.1453903459401039}"
exp4_57d1693f50447ebd,exp2_scaled,experiments\exp2_scaled\results\logreg_dice\seed_789\n_100\results.json,adult,logreg,dice,3221,0,,0,DICE top local factors: hours-per-week: 5.7820; education_5th-6th: 0.2000; age: 0.0000; fnlwgt: 0.0000; education-num: 0.0000; capital-gain: 0.0000; capital-loss: 0.0000; workclass_Federal-gov: 0.0000; workclass_Local-gov: 0.0000; workclass_Never-worked: 0.0000,82,TN,789,100,"{""cost"": 3611.34655099886, ""faithfulness_gap"": 0.27601194230280574, ""fidelity"": 0.5949146364286922, ""runtime_ms"": 3611.34655099886, ""sparsity"": 0.018518518518518517, ""stability"": 0.028606008116601737}"
exp4_57fbcb6615a605ff,exp3_cross_dataset,experiments\exp3_cross_dataset\results\breast_cancer\xgb_shap\seed_456\n_100\results.json,breast_cancer,xgb,shap,73,1,,1,SHAP top local factors: worst texture: 0.0736; mean concave points: 0.0505; worst concave points: 0.0505; worst area: 0.0384; worst perimeter: 0.0237; area error: 0.0193; worst concavity: 0.0163; mean texture: 0.0128; worst radius: 0.0096; mean radius: 0.0089,76,TP,456,100,"{""cost"": 1001.3821000466123, ""faithfulness_gap"": 0.48992496728897095, ""fidelity"": 0.5832711430900775, ""runtime_ms"": 1001.3821000466123, ""sparsity"": 0.3333333333333333, ""stability"": 0.9901593320740969}"
exp4_5a283f4d6f1cf5e1,exp2_scaled,experiments\exp2_scaled\results\logreg_lime\seed_999\n_200\results.json,adult,logreg,lime,8178,1,,1,LIME top local factors: workclass_Self-emp-inc: 0.0300; capital-loss: 0.0280; education_Masters: 0.0235; occupation_Sales: 0.0162; education-num: 0.0114; marital-status_Married-civ-spouse: 0.0095; hours-per-week: 0.0090; capital-gain: 0.0071; sex_Female: -0.0061; marital-status_Never-married: -0.0057,90,TP,999,200,"{""cost"": 2.9301249887794256, ""faithfulness_gap"": 0.4249888537650558, ""fidelity"": 0.6305899753604851, ""runtime_ms"": 2.9301249887794256, ""sparsity"": 0.09259259259259259, ""stability"": 0.07754162089250821}"
exp4_5d87ea599e9e4677,exp2_scaled,experiments\exp2_scaled\results\mlp_lime\seed_999\n_100\results.json,adult,mlp,lime,6295,0,,1,LIME top local factors: age: 0.0433; education_HS-grad: -0.0362; workclass_Private: -0.0337; occupation_Craft-repair: -0.0287; marital-status_Never-married: -0.0263; relationship_Unmarried: -0.0247; relationship_Own-child: -0.0247; sex_Male: -0.0218; marital-status_Married-civ-spouse: 0.0176; relationship_Husband: -0.0142,88,FN,999,100,"{""cost"": 3.148582996800542, ""faithfulness_gap"": 0.30575888402046464, ""fidelity"": 0.6811444347985652, ""runtime_ms"": 3.148582996800542, ""sparsity"": 0.09259259259259259, ""stability"": 0.0005298301335924889}"
exp4_60730b2d1280bac2,exp2_scaled,experiments\exp2_scaled\results\mlp_lime\seed_999\n_100\results.json,adult,mlp,lime,9446,1,,1,LIME top local factors: workclass_Self-emp-inc: 0.0498; occupation_Exec-managerial: 0.0325; capital-gain: 0.0240; relationship_Husband: 0.0229; workclass_Private: -0.0219; hours-per-week: 0.0215; education_Bachelors: 0.0200; marital-status_Married-civ-spouse: 0.0185; marital-status_Never-married: -0.0176; education_HS-grad: -0.0108,91,TP,999,100,"{""cost"": 3.0546670022886246, ""faithfulness_gap"": 0.2741046247508342, ""fidelity"": 0.31803299244892874, ""runtime_ms"": 3.0546670022886246, ""sparsity"": 0.09259259259259259, ""stability"": 0.06452752097187262}"
exp4_60f604202ab9cb5c,exp3_cross_dataset,experiments\exp3_cross_dataset\results\breast_cancer\xgb_anchors\seed_42\n_100\results.json,breast_cancer,xgb,anchors,35,1,,0,ANCHORS top local factors: worst radius: 1.0000; worst perimeter: 1.0000; mean radius: 0.0000; mean texture: 0.0000; mean perimeter: 0.0000; mean area: 0.0000; mean smoothness: 0.0000; mean compactness: 0.0000; mean concavity: 0.0000; mean concave points: 0.0000,75,FP,42,100,"{""cost"": 1001.3632000191137, ""faithfulness_gap"": 0.7253313660621643, ""fidelity"": 0.5371478635522347, ""runtime_ms"": 1001.3632000191137, ""sparsity"": 0.06666666666666667, ""stability"": 0.24219908247412278}"
exp4_636acbcad2a09395,exp3_cross_dataset,experiments\exp3_cross_dataset\results\german_credit\xgb_anchors\seed_42\n_100\results.json,german_credit,xgb,anchors,143,1,,1,ANCHORS top local factors: duration: 1.0000; installment_commitment: 1.0000; property_magnitude_real estate: 1.0000; credit_amount: 0.0000; residence_since: 0.0000; age: 0.0000; existing_credits: 0.0000; num_dependents: 0.0000; checking_status_0<=X<200: 0.0000; checking_status_<0: 0.0000,72,TP,42,100,"{""cost"": 1001.1144480013172, ""faithfulness_gap"": 0.4568513035774231, ""fidelity"": 0.7268590420935785, ""runtime_ms"": 1001.1144480013172, ""sparsity"": 0.04918032786885246, ""stability"": 0.7253376111051949}"
exp4_6496b69e203cf5db,exp2_scaled,experiments\exp2_scaled\results\logreg_dice\seed_789\n_200\results.json,adult,logreg,dice,3129,1,,0,DICE top local factors: marital-status_Married-civ-spouse: 0.8000; education_11th: 0.6000; age: 0.0000; fnlwgt: 0.0000; education-num: 0.0000; capital-gain: 0.0000; capital-loss: 0.0000; hours-per-week: 0.0000; workclass_Federal-gov: 0.0000; workclass_Local-gov: 0.0000,84,FP,789,200,"{""cost"": 456.2522090272978, ""faithfulness_gap"": 0.19490664493702659, ""fidelity"": 0.3795366302716156, ""runtime_ms"": 456.2522090272978, ""sparsity"": 0.018518518518518517, ""stability"": 0.11592677220171055}"
exp4_64b60f2ab98bce43,exp3_cross_dataset,experiments\exp3_cross_dataset\results\breast_cancer\xgb_shap\seed_123\n_100\results.json,breast_cancer,xgb,shap,25,1,,1,SHAP top local factors: mean concave points: 0.0814; worst perimeter: 0.0810; worst area: 0.0522; worst concave points: 0.0465; worst concavity: 0.0346; area error: 0.0307; worst texture: 0.0209; worst smoothness: 0.0198; worst radius: 0.0171; mean texture: 0.0152,76,TP,123,100,"{""cost"": 1001.3491000281647, ""faithfulness_gap"": 0.043453752994537354, ""fidelity"": 0.3530259262595713, ""runtime_ms"": 1001.3491000281647, ""sparsity"": 0.3333333333333333, ""stability"": 0.9643447795506498}"
exp4_651e27fdf46656c5,exp3_cross_dataset,experiments\exp3_cross_dataset\results\german_credit\rf_anchors\seed_123\n_100\results.json,german_credit,rf,anchors,48,1,,1,ANCHORS top local factors: duration: 1.0000; checking_status_no checking: 1.0000; property_magnitude_real estate: 1.0000; credit_amount: 0.0000; installment_commitment: 0.0000; residence_since: 0.0000; age: 0.0000; existing_credits: 0.0000; num_dependents: 0.0000; checking_status_0<=X<200: 0.0000,71,TP,123,100,"{""cost"": 1000.7251520000864, ""faithfulness_gap"": 0.31999999999999995, ""fidelity"": 0.589253536786644, ""runtime_ms"": 1000.7251520000864, ""sparsity"": 0.04918032786885246, ""stability"": 0.8144179404634557}"
exp4_6591a8e5ad6efec9,exp3_cross_dataset,experiments\exp3_cross_dataset\results\breast_cancer\xgb_anchors\seed_123\n_100\results.json,breast_cancer,xgb,anchors,85,0,,1,ANCHORS top local factors: mean area: 1.0000; worst perimeter: 1.0000; mean radius: 0.0000; mean texture: 0.0000; mean perimeter: 0.0000; mean smoothness: 0.0000; mean compactness: 0.0000; mean concavity: 0.0000; mean concave points: 0.0000; mean symmetry: 0.0000,75,FN,123,100,"{""cost"": 2007.4611000018194, ""faithfulness_gap"": 0.3258427083492279, ""fidelity"": 0.45652882807895057, ""runtime_ms"": 2007.4611000018194, ""sparsity"": 0.06666666666666667, ""stability"": 0.3020521530142293}"
exp4_679cae8cfc0b290c,exp2_scaled,experiments\exp2_scaled\results\logreg_dice\seed_42\n_200\results.json,adult,logreg,dice,801,1,,1,DICE top local factors: education-num: 5.6342; age: 0.0000; fnlwgt: 0.0000; capital-gain: 0.0000; capital-loss: 0.0000; hours-per-week: 0.0000; workclass_Federal-gov: 0.0000; workclass_Local-gov: 0.0000; workclass_Never-worked: 0.0000; workclass_Private: 0.0000,80,TP,42,200,"{""cost"": 457.16008299496025, ""faithfulness_gap"": 0.0865011932347669, ""fidelity"": 0.47883644427082567, ""runtime_ms"": 457.16008299496025, ""sparsity"": 0.009259259259259259, ""stability"": 0.967757847991394}"
exp4_681f91e7c50b9380,exp2_scaled,experiments\exp2_scaled\results\mlp_dice\seed_42\n_200\results.json,adult,mlp,dice,2779,1,,0,DICE top local factors: native-country_Ireland: 1.0000; age: 0.0000; fnlwgt: 0.0000; education-num: 0.0000; capital-gain: 0.0000; capital-loss: 0.0000; hours-per-week: 0.0000; workclass_Federal-gov: 0.0000; workclass_Local-gov: 0.0000; workclass_Never-worked: 0.0000,82,FP,42,200,"{""cost"": 478.18054200615734, ""faithfulness_gap"": 0.024169079419548933, ""fidelity"": -0.046527833300379136, ""runtime_ms"": 478.18054200615734, ""sparsity"": 0.009259259259259259, ""stability"": 0.017744149695136737}"
exp4_68d9cafa69b7fec2,exp3_cross_dataset,experiments\exp3_cross_dataset\results\german_credit\xgb_anchors\seed_42\n_100\results.json,german_credit,xgb,anchors,147,1,,0,ANCHORS top local factors: duration: 1.0000; credit_history_critical/other existing credit: 1.0000; property_magnitude_car: 1.0000; credit_amount: 0.0000; installment_commitment: 0.0000; residence_since: 0.0000; age: 0.0000; existing_credits: 0.0000; num_dependents: 0.0000; checking_status_0<=X<200: 0.0000,73,FP,42,100,"{""cost"": 1001.0944090026896, ""faithfulness_gap"": 0.4181517958641052, ""fidelity"": 0.7635960626362068, ""runtime_ms"": 1001.0944090026896, ""sparsity"": 0.04918032786885246, ""stability"": 0.8}"
exp4_6af7798c2cb4bb08,exp3_cross_dataset,experiments\exp3_cross_dataset\results\german_credit\rf_shap\seed_123\n_100\results.json,german_credit,rf,shap,81,0,,1,SHAP top local factors: checking_status_<0: -0.1100; age: -0.0445; checking_status_no checking: -0.0426; residence_since: 0.0255; duration: 0.0215; personal_status_female div/dep/mar: -0.0185; savings_status_<100: -0.0168; purpose_new car: 0.0149; credit_history_critical/other existing credit: -0.0131; own_telephone_yes: -0.0120,86,FN,123,100,"{""cost"": 1019.825974000014, ""faithfulness_gap"": 0.21999999999999997, ""fidelity"": 0.7508241111255733, ""runtime_ms"": 1019.825974000014, ""sparsity"": 0.9016393442622951, ""stability"": 0.9803608936337782}"
exp4_6ce495f3482aecc1,exp3_cross_dataset,experiments\exp3_cross_dataset\results\breast_cancer\xgb_anchors\seed_123\n_100\results.json,breast_cancer,xgb,anchors,22,0,,0,ANCHORS top local factors: worst texture: 1.0000; worst concave points: 1.0000; mean radius: 0.0000; mean texture: 0.0000; mean perimeter: 0.0000; mean area: 0.0000; mean smoothness: 0.0000; mean compactness: 0.0000; mean concavity: 0.0000; mean concave points: 0.0000,76,TN,123,100,"{""cost"": 2001.3398999581113, ""faithfulness_gap"": 0.05274925380945206, ""fidelity"": 0.07443953340838248, ""runtime_ms"": 2001.3398999581113, ""sparsity"": 0.06666666666666667, ""stability"": 0.7666666666666665}"
exp4_6d6ef32df0477323,exp2_scaled,experiments\exp2_scaled\results\logreg_dice\seed_999\n_200\results.json,adult,logreg,dice,9050,1,,0,DICE top local factors: education-num: 5.0987; race_Other: 0.3000; age: 0.0000; fnlwgt: 0.0000; capital-gain: 0.0000; capital-loss: 0.0000; hours-per-week: 0.0000; workclass_Federal-gov: 0.0000; workclass_Local-gov: 0.0000; workclass_Never-worked: 0.0000,80,FP,999,200,"{""cost"": 517.5104579975596, ""faithfulness_gap"": 0.11282855329652641, ""fidelity"": 0.6326248341734247, ""runtime_ms"": 517.5104579975596, ""sparsity"": 0.018518518518518517, ""stability"": 0.9790413410200026}"
